candidate_name,year,election_type,office,party,double_checked,source
"BOIVIE, ETHAN M.",2004,GENERAL,ASSEMBLY 53,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-general/sov_2004_entire.pdf
"REIS, GEORGE",2004,GENERAL,ASSEMBLY 69,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-general/sov_2004_entire.pdf
"BALDWIN, MARK",2004,GENERAL,ASSEMBLY 70,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-general/sov_2004_entire.pdf
"CROSS, BRIAN LEE",2004,GENERAL,ASSEMBLY 72,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-general/sov_2004_entire.pdf
"RHODES, DAVID",2004,GENERAL,STATE SENATE 03,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-general/sov_2004_entire.pdf
"CONDIT, TOM",2004,GENERAL,STATE SENATE 09,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2004-general/sov_2004_entire.pdf
"GOLDMAN, COLIN S.",2004,GENERAL,STATE SENATE 23,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-general/sov_2004_entire.pdf
"JOHNSON, TIMOTHY",2004,GENERAL,STATE SENATE 35,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-general/sov_2004_entire.pdf
"TYRONE, RAY",2004,PRIMARY,ASSEMBLY 01,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"SCHWENK, TODD W.",2004,PRIMARY,ASSEMBLY 04,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"MANFRE, MELISSA",2004,PRIMARY,ASSEMBLY 05,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"MORGAN, GALE R.",2004,PRIMARY,ASSEMBLY 09,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"GARCIA, GASPAR R.",2004,PRIMARY,ASSEMBLY 09,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"SANCHEZ, MOSES ARIEL",2004,PRIMARY,ASSEMBLY 17,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"TRAN, KHANH D.",2004,PRIMARY,ASSEMBLY 23,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"JANKOWIAK, FRED",2004,PRIMARY,ASSEMBLY 24,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"COLLIER III, ZANDER Y.",2004,PRIMARY,ASSEMBLY 24,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"DAVIS, BRIAN JOSEPH",2004,PRIMARY,ASSEMBLY 38,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"AYAO, ELY DE LA CRUZ",2004,PRIMARY,ASSEMBLY 39,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"DE BAETS, PETER D.",2004,PRIMARY,ASSEMBLY 47,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"ALEXANDER, SEBASTIAN",2004,PRIMARY,ASSEMBLY 48,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"BROWN, LAURA G.",2004,PRIMARY,ASSEMBLY 49,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"BOIVIE, ETHAN M.",2004,PRIMARY,ASSEMBLY 53,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"HAWKINS, WALTER S.",2004,PRIMARY,ASSEMBLY 62,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"REIS, GEORGE",2004,PRIMARY,ASSEMBLY 69,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"BALDWIN, MARK",2004,PRIMARY,ASSEMBLY 70,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"CROSS, BRIAN LEE",2004,PRIMARY,ASSEMBLY 72,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"RHODES, DAVID",2004,PRIMARY,STATE SENATE 03,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"CONDIT, TOM",2004,PRIMARY,STATE SENATE 09,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"DIAZ, ANDREW G. ABE",2004,PRIMARY,STATE SENATE 13,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"MEDEIROS, JOSE FRANCIS",2004,PRIMARY,STATE SENATE 13,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"GOLDMAN, COLIN S.",2004,PRIMARY,STATE SENATE 23,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"JOHNSON, TIMOTHY",2004,PRIMARY,STATE SENATE 35,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"BOURKE, KENNETH P.",2004,PRIMARY,STATE SENATE 39,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2004-primary/sov-complete.pdf
"TROYER, ALBERT",2006,GENERAL,ASSEMBLY 10,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"BONSER, JANICE M.",2006,GENERAL,ASSEMBLY 10,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"MORRISON, COLIN M.",2006,GENERAL,ASSEMBLY 27,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"VEGA, MARIBEL",2006,GENERAL,ASSEMBLY 32,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"AGBABA, MICHAEL M.",2006,GENERAL,ASSEMBLY 43,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"SWINNEY, CARL M. ""MARTY""",2006,GENERAL,ASSEMBLY 51,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"TALEB, JON",2006,GENERAL,ASSEMBLY 65,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"CROSS, BRIAN LEE",2006,GENERAL,ASSEMBLY 72,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"MEYER, SCOTT",2006,GENERAL,ASSEMBLY 75,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"BELITZ, RICHARD G.",2006,GENERAL,ASSEMBLY 77,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"CAMPBELL, WARREN MARK",2006,GENERAL,CONTROLLER,AMERICAN INDEPENDENT PARTY,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"JORDAN, JANICE",2006,GENERAL,GOVERNOR,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"BURDEN, JAY EARL",2006,GENERAL,INSURANCE COMMISSIONER,AMERICAN INDEPENDENT PARTY,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"OGDEN, DALE F.",2006,GENERAL,INSURANCE COMMISSIONER,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"CONDIT, TOM",2006,GENERAL,INSURANCE COMMISSIONER,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"CAMPBELL, DAVID",2006,GENERAL,MEMBER BOARD OF EQUALIZATION 01,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"WATSON, KENNITA L.",2006,GENERAL,MEMBER BOARD OF EQUALIZATION 01,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"MICHLIN, WILLARD D.",2006,GENERAL,MEMBER BOARD OF EQUALIZATION 02,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"FINLEY, MARY LOU",2006,GENERAL,MEMBER BOARD OF EQUALIZATION 03,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"CHRISTIAN-HEISING, MARY",2006,GENERAL,MEMBER BOARD OF EQUALIZATION 03,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"HENDERSON, CINDY VARELA",2006,GENERAL,MEMBER BOARD OF EQUALIZATION 04,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"MUNROE, TONY",2006,GENERAL,STATE SENATE 04,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"FILIPOVICH, LOU",2006,GENERAL,STATE SENATE 10,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"LIDDLE, CHERRYL",2006,GENERAL,STATE SENATE 28,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"THOMAS, JESSE",2006,GENERAL,STATE SENATE 40,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"SMITHSON, MARIAN V.",2006,GENERAL,TREASURER,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf
"WHITEHEAD, PAUL",2005,SPECIAL ELECTION,ASSEMBLY 53,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"HENNEMANN, RAYMOND G.",2006,PRIMARY,ASSEMBLY 02,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"BONSER, JANICE M.",2006,PRIMARY,ASSEMBLY 10,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"COEN, COLLEEN",2006,PRIMARY,ASSEMBLY 19,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"MORRISON, COLIN M.",2006,PRIMARY,ASSEMBLY 27,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"AVILA, BENJAMIN",2006,PRIMARY,ASSEMBLY 29,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"VEGA, MARIBEL",2006,PRIMARY,ASSEMBLY 32,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"AGBABA, MICHAEL M.",2006,PRIMARY,ASSEMBLY 43,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"SOLIS, JOHN M.",2006,PRIMARY,ASSEMBLY 57,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"TALEB, JON",2006,PRIMARY,ASSEMBLY 65,PEACE AND FREEDOM,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"LOWE, ROBIN R.",2006,PRIMARY,ASSEMBLY 65,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"MEYER, SCOTT",2006,PRIMARY,ASSEMBLY 75,DEMOCRATIC,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"BELITZ, RICHARD G.",2006,PRIMARY,ASSEMBLY 77,LIBERTARIAN,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"HARRIS, DAVID",2006,PRIMARY,CONTROLLER,REPUBLICAN,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
"CAMPBELL, WARREN MARK",2006,PRIMARY,CONTROLLER,AMERICAN INDEPENDENT PARTY,,http://elections.cdn.sos.ca.gov/sov/2006-primary/2006_sov.pdf
